l_mean,l_std,t_mean,t_std,count,class
1514.0,0.0,0.000522718956722087,0.00032311219186120788,0,2
1514.0,0.0,0.00052748732830411825,0.00034381575843499268,0,2
1514.0,0.0,0.00053588469423840389,0.00036688869433148407,0,2
1514.0,0.0,0.00051892462687276716,0.00033717850788702556,0,2
1514.0,0.0,0.0005293311785213911,0.0003493388165398167,0,2
1514.0,0.0,0.00052254763080846129,0.00032554921706127771,0,2
1514.0,0.0,0.0005342720741003602,0.0003503382007351555,0,2
1514.0,0.0,0.0005203719115137455,0.00030728960680931366,0,2
1514.0,0.0,0.00052333237537786589,0.00031714322754826092,0,2
1514.0,0.0,0.00052596576249779167,0.00032700139359878746,0,2
1514.0,0.0,0.00053572774532452297,0.00036525792380427669,0,2
1514.0,0.0,0.00053075929382937642,0.00033943449142789258,0,2
1514.0,0.0,0.00054211113321122218,0.00037010562589319065,0,2
1514.0,0.0,0.00054161752288665009,0.00035292365007172686,0,2
1514.0,0.0,0.00053224611521965294,0.00034880027565978349,0,2
1514.0,0.0,0.00052863269595045538,0.00035516163181450116,0,2
1514.0,0.0,0.00052540266334111967,0.00032010277508549536,0,2
